Rat,GroupAbbrev,Collection
H1138,LD,Y16
H1145,LD,Y16
H1147,LD,Y16
H1156,LD,Y16
H1157,LD,Y16
H1166,LD,Y16
H1167,LD,Y16
H931,LD,Y14
H933,LD,Y14
H935,LD,Y14
H937,LD,Y14
H939,LD,Y14
K2491,D6M,Y14
K2501,D6M,Y14
K2503,D6M,Y14
K2513,D6M,Y14
K4153,D3M,Y16
K4164,D3M,Y16
K4206,D3M,Y16
P7561,D3M,Y14
P7563,D3M,Y14
P7573,PD,Y14
P7589,PD,Y14
P7603,D3M,Y14
P7609,PD,Y14
P7611,D3M,Y14
P7949,D6M,Y14
P8113,PD,Y14
P8117,D3M,Y14
P8153,D3M,Y14
P8163,D6M,Y14
P8259,PD,Y14
P8287,PD,Y14
P9223,PD,Y16
P9225,PD,Y16
P9227,RD,Y16
P9243,PD,Y16
P9251,RD,Y16
P9253,PD,Y16
P9255,D3M,Y16
P9257,PD,Y16
P9259,PD,Y16
P9261,RD,Y16
P9263,PD,Y16
P9285,D3M,Y16
P9291,PD,Y16
P9295,RD,Y16
P9303,PD,Y16
P9323,RD,Y16
P9327,D6M,Y16
P9329,D6M,Y16
P9335,RD,Y16
P9375,RD,Y16
P9387,RD,Y16
P9393,RD,Y16
P9395,RD,Y16
